BWV,2a,Date,Name,Key,Scoring,BG,NBE,Additional info,BD
545b,II,1708–1717,"Prelude, Trio and Fugue",B♭ maj.,Organ,,IV/11: 6,"after BWV 545a; ↔ 545, 1029/3",00624
553,II,,Eight Short Preludes and Fugues No. 1,C maj.,Organ,38: 23,IV/11,"by Krebs, J. T. or J. L.?",00633
554,II,,Eight Short Preludes and Fugues No. 2,D min.,Organ,38: 27,IV/11,"by Krebs, J. T. or J. L.?",00634
555,II,,Eight Short Preludes and Fugues No. 3,E min.,Organ,38: 30,IV/11,"by Krebs, J. T. or J. L.?",00635
556,II,,Eight Short Preludes and Fugues No. 4,F maj.,Organ,38: 33,IV/11,"by Krebs, J. T. or J. L.?",00636
557,II,,Eight Short Preludes and Fugues No. 5,G maj.,Organ,38: 36,IV/11,"by Krebs, J. T. or J. L.?",00637
558,II,,Eight Short Preludes and Fugues No. 6,G min.,Organ,38: 39,IV/11,"by Krebs, J. T. or J. L.?",00638
559,II,,Eight Short Preludes and Fugues No. 7,A min.,Organ,38: 42,IV/11,"by Krebs, J. T. or J. L.?",00639
560,II,,Eight Short Preludes and Fugues No. 8,B♭ maj.,Organ,38: 45,IV/11,"by Krebs, J. T. or J. L.?",00640
561,II,,Fantasia and Fugue,A min.,Organ,38: 48,,,00641
568,II,,Prelude,G maj.,Organ,38: 85,IV/6: 51,,00648
584,II,,Trio ,G min.,Organ,,I/12: 23 IV/11,after BWV 166/2,00666
1027 /1a /2a /4a,II,,Trio ,G maj.,Organ,,IV/11,"after BWV 1027/1–2 /4, 1039/1–2 /4; arr. by Kellner, J. P.?",01209
591,II,,Kleines harmonisches Labyrinth,,Organ,38: 225,IV/11: 50,by Heinichen?,00673
597,II,,Concerto for solo organ,E♭ maj.,Organ,,IV/11,after lost model?,00680
598,II,,Pedal-Exercitium (fragment),,Organ,38: 210,,"by Bach, C. P. E.?",00681
676a,II,1739–1789,"chorale setting ""Allein Gott in der Höh sei Ehr"" (later variant)",,Organ,40: 208,IV/4: KB 48,after BWV 676,00792
683a,II,1739–1789,"chorale setting ""Vater unser im Himmelreich"" (later variant)",,Organ,,IV/4: KB 51,after BWV 683,00800
N 205,II,,,,,,,see BWV 1121,01516
II 48,II,,"chorale setting ""Allein Gott in der Höh sei Ehr""",,Organ,,,by Walther (& Scholz?),01356
II 49,II,,"chorale setting ""Ein feste Burg ist unser Gott""",,Organ,,,by Walther?,01357
II 50,II,,"chorale setting ""Erhalt uns, Herr, hei deinem Wort""",,Organ,,,,01358
II 51,II,,"chorale setting ""Erstanden ist der heilge Christ""",,Organ,,,,01359
II 52,II,,"chorale setting ""Freu dich sehr, o meine Seele""",,Organ,,,,01360
II 53,II,,"chorale setting ""Freu dich sehr, o meine Seele""",,Organ,,,,01361
II 54,II,,"chorale setting ""Helft mir Gotts Güte preisen""",,Organ,,,,01362
II 54,II,,"chorale setting ""Von Gott will ich nicht lassen""",,Organ,,,,01362
II 55,II,1714-1717 or earlier,"chorale setting ""Herr Christ, der einig Gottes Sohn"" ",,Organ,,,,01363
II 58,II,,"chorale setting ""Jesu, meine Freude""",,Organ,,,,01366
II 59,II,,"chorale setting ""Jesu, meine Freude""",,Organ,,,,01367
II 60,II,,"chorale setting ""Nun lob, mein Seel, den Herren"" ",,Organ,,,by Walther?,01368
II 62a,II,,"chorale setting ""Sei Lob und Ehr mit hohem Preis""",,Organ,,,,01370
II 62b,II,,"chorale setting ""Sei Lob und Ehr mit hohem Preis""",,Organ,,,,01371
II 63,II,,"chorale setting ""Vom Himmel hoch""",,Organ,,,,01372
II 64,II,,"chorale setting ""Vom Himmel hoch""",,Organ,,,,01373
II 65,II,,"chorale setting ""Vom Himmel hoch""",,Organ,,,,01374
II 66,II,,"chorale setting ""Wachet auf, ruft uns""",,Organ Tr,,,"by Krebs, J. L.?",01375
II 67,II,,"chorale setting ""Was Gott tut, das ist wohlgetan""",,Organ,,,,01376
II 68,II,,"chorale setting ""Wer nur den lieben Gott läßt walten""",,Organ,,,,01377
II 69,II,,"chorale setting ""Wir glauben all an einen Gott""",,Organ,,,,01378
II 70,II,,"chorale setting ""Wir glauben all an einen Gott"" ",,Organ,,,,01379
II 71,II,,,,,,,see BWV 1128,01725
II 72,II,,"chorale setting ""Christus der uns selig macht"" (Canon)",,Organ,,,,01381
II 74,II,,"chorale setting ""Schmücke dich, o liebe Seele"" ",,Organ,,,,01383
II 75,II,,"chorale setting ""Herr Christ, der einig Gottes Sohn"" ",,Organ,,,,01384
II 76,II,,"chorale setting ""Jesu, meine Freude"" ",,Organ,,,,01385
II 77,II,,"chorale setting ""Herr Christ, der einig Gottes Sohn"" ",,Organ,,,,01386
II 78,II,,"chorale setting ""Wenn wir in höchsten Nöten sein"" ",,Organ,,,,01387
II 79,II,,"chorale setting ""Befiehl du deine Wege""",,Organ,,,,01388
691a,II,1720–1789,"chorale setting ""Wer nur den lieben Gott läßt walten"" (variant)",,Organ,40: 151,,after BWV 691,00809
705,II,,"chorale setting ""Durch Adams Fall ist ganz verderbt"" (Kirnb. coll. No. 16)",,Organ,40: 23,IV/10: 47,after Z 7549,00825
708,II,1700–1789,"chorale setting ""Ich hab mein Sach Gott heimgestellt"" (alio modo; Kirnb. coll. No. 19)",,Organ,40: 30,IV/10: 86,after Z 1679,00828
708a,II,1700–1789,"chorale setting ""Ich hab mein Sach Gott heimgestellt""",,Organ,40: 152,IV/10: 86,after Z 1679,00829
716,II,,"chorale setting ""Allein Gott in der Höh sei Ehr"" (Fantasia)",,Organ,40: 45,IV/10: 14,after Z 4457,00838
726,II,bef. c.1727,"chorale setting ""Herr Jesu Christ, dich zu uns wend""",,Organ,40: 72,IV/3: 45,after Z 624,00849
743,II,bef. c.1740,"chorale setting ""Ach, was ist doch unser Leben"" ",,Organ,,IV/10: 11,"after Z 1208b; by Buttstett, J. H.?",00871
745,II,1700–1788,"chorale setting ""Aus der Tiefe rufe ich""",,Organ,40: 171,IV/10: 22,"after Z 1217; by Bach, C. P. E.?",00873
749,II,c.1700–1717,"chorale setting ""Herr Jesu Christ, dich zu uns wend"" ",,Organ,,IV/10: 80,"after Z 624; by Bach, J. Christoph or Telemann?",00878
750,II,c.1700–1703,"chorale setting ""Herr Jesu Christ, meins Lebens Licht"" ",,Organ,,IV/10: 81,,00879
752,II,c.1700–1717,"chorale setting ""Jesu, der du meine Seele"" ",,Organ,,,after Z 6779a,00881
754,II,bef. c.1740,"chorale setting ""Liebster Jesu, wir sind hier"" ",,Organ,,,after Z 3498b,00883
755,II,,"chorale setting ""Nun freut euch, lieben Christen g'mein"" ",,Organ,,,after Z 4429a,00884
756,II,,"chorale setting ""Nun ruhen alle Wälder"" ",,Organ,,,after Z 2293b,00885
757,II,,"chorale setting ""O Herre Gott, dein göttlichs Wort"" ",,Organ,,,after Z 5690,00886
758,II,,"chorale setting ""O Vater, allmächtiger Gott""",,Organ,40: 179,IV/11: 69,after Z 8603b,00887
762,II,bef. c.1717,"chorale setting ""Vater unser im Himmelreich"" ",,Organ,,IV/10: 142,after Z 2561,00891
763,II,,"chorale setting ""Wie schön leucht uns der Morgenstern"" ",,Organ,,,after Z 8359,00892
765,II,bef. c.1717,"chorale setting ""Wir glauben all an einen Gott""",,Organ,40: 187,,after Z 7971,00894
N 206,II,,"chorale setting ""Ach bleib mit deiner Gnade"" ",,Organ,,,by Pachelbel (P 376),01517
N 206,II,,"chorale setting ""Christus, der ist mein Leben"" ",,Organ,,,by Pachelbel (P 376),01517
II 80,II,1707–1708 or earlier,Suite ,F maj.,Keyboard,,V/12,,01389
821,II,,Suite,B♭ maj.,Keyboard,42: 213,V/12: 3,,00959
834,II,,Allemande,C min.,Keyboard,42: 259,V/12,,00973
839,II,1735-03-07 or earlier,Sarabande ,G min.,Keyboard,,V/12,in Notenbuch der Zeumerin,00978
844,II,,Toccatina No. 4 Scherzo,D min.,Keyboard,42: 220,V/12: 16,"by Bach, W. F.? ↔ BWV 844a",00983
844a,II,,Scherzo,E min.,Keyboard,42: 281,V/12: 22,"by Bach, W. F.? (BR A55); ↔ BWV 844",00984
845,II,,Gigue,F min.,Keyboard,42: 263,V/12,,00985
II 81,II,,Gigue  (incomplete),D min.,Keyboard,,V/12,"by Kellner, J. P.?",01390
II 82,II,,Ciacona ,B♭ maj.,Keyboard,,V/12,"by Bach, J. B.?",01391
II 83,II,,Ciacona ,A maj.,Keyboard,,V/12,"by Bach, J. B. or H.?",01392
II 84,II,,Ciacona ,G maj.,Keyboard,,V/12,"by Bach, J. B.?",01393
II 85,II,,Toccata and Fugue ,F min.,Keyboard,42: XXXV,"V/12: 114, 122",by Dobenecker?,01394
898,II,,Prelude and Fugue  on B-A-C-H,B♭ maj.,Keyboard,42: XXXIV,V/12,,01067
II 86,II,,Fantasia,C min.,Keyboard,42: 243,V/12,by Gronau?,01395
II 87,II,,Fantasia ,C maj.,Keyboard,,V/12,by Benda?,01396
905,II,,Fantasia and Fugue,D min.,Keyboard,42: 179,V/12: 24,,01076
907,II,,Fantasia and Fughetta,B♭ maj.,Keyboard,42: 268,V/12: 28,by Kirchhoff ?,01078
908,II,,Fantasia and Fughetta,D maj.,Keyboard,42: 272,V/12: 34,by Kirchhoff ?,01079
909,II,,Concerto e Fuga,C min.,Keyboard,42: 190,V/12: 38,,01080
919,II,,Fantasia,C min.,Keyboard,36: 152,V/12: 48,"by Bach, J. B. or J. B. the Younger?",01092
920,II,,Fantasia,G min.,Keyboard,42: 183,V/12,,01093
923a,II,,Toccatina No. 3 Prelude,A min.,Keyboard,42: 279,V/12: 14,after BWV 923,01097
II 89,II,,Fugue ,C maj.,Keyboard,42: XXXIV,V/12,,01398
II 90,II,,Fugue,C maj.,Kb (with ped?),38: 213,"IV/11: 58, 61","by Bach, C. P. E. (H 388) or Pachelbel?",01399
II 91,II,,Fugue ,G maj.,Keyboard,42: XXXIV,V/12,,01401
II 92,II,,Fugue ,G maj.,Keyboard,,V/12,,01402
II 93,II,,Fugue ,E min.,Keyboard,42: XXXIV,V/12,,01403
II 95,II,,Fugue ,E min.,Keyboard,42: XXXIV,V/12,,01405
II 96,II,,Fugue ,D maj.,Keyboard,,V/12,"by Bach, C. P. E.? (H 373.5)",01406
II 98,II,,Fugue ,D min.,Keyboard,,V/12,"by Bach, C. P. E.? (H 373.5)",01408
II 99,II,,Fugue ,D min.,Keyboard,,V/12,,01409
II 100,II,,Fugue ,D min.,Keyboard,,V/12,"by Bach, C. P. E.? (H 373.5)",01410
II 101,II,,Fugue ,G min.,Keyboard,42: XXXV,V/12: 130,by Dobenecker?,01411
II 102,II,,Fugue ,E♭ min.,Keyboard,,V/12,,01412
897/2,II,,Fugue,A min.,Keyboard,42: 175,V/12,"by Dretzel or Bach, W. F.?",01066
945,II,,Fugue,E min.,Keyboard,36: 155,V/12,by Graupner?,01120
956,II,,Fugue,E min.,Keyboard,42: 200,V/12: 70,,01133
958,II,,Fugue,A min.,Keyboard,42: 205,V/12: 74,,01135
960,II,,Fugue (incomplete),E min.,Keyboard,42: 276,V/12,,01137
N 207,II,,Fugue,E min.,Keyboard,,IV/11,by Seger?,01518
II 109,II,,Fugue  on B-A-C-H,G min.,Keyboard,,V/12,,01419
964,II,,Sonata,D min.,Keyboard,42: 3,V/12: 78,after BWV 1003,01141
II 111,II,,Largo and Allegro ,G maj.,Keyboard,42: XXXV,V/12,,01421
968,II,,Adagio,G maj.,Keyboard,42: 27,V/12: 94,after BWV 1005/1,01145
969,II,,Toccatina No. 5 Andante,G min.,Keyboard,42: 218,V/12: 18,,01146
II 113,II,1725 (AMB),Notebook A. M. Bach (1725) No. 3 Minuet,F maj.,Keyboard,432: 25,V/4: 82,,01423
II 116,II,1725 (AMB),Notebook A. M. Bach (1725) No. 7 Minuet,G maj.,Keyboard,432: 28,V/4: 87,,01426
II 117,II,1725 (AMB),Notebook A. M. Bach (1725) No. 8a and 8b two Polonaises,F maj.,Keyboard,432: 28,V/4: 88,,01427 01428
II 118,II,1725 (AMB),Notebook A. M. Bach (1725) No. 9 Minuet,B♭ maj.,Keyboard,432: 29,V/4: 89,,01429
II 119,II,1725 (AMB),Notebook A. M. Bach (1725) No. 10 Polonaise,G min.,Keyboard,432: 30,V/4: 90,,01430
II 120,II,1725 (AMB),Notebook A. M. Bach (1725) No. 14 Minuet,A min.,Keyboard,432: 31,V/4: 92,,01431
II 121,II,1725 (AMB),Notebook A. M. Bach (1725) No. 15 Minuet,C min.,Keyboard,432: 32,V/4: 92,,01432
II 126,II,1725 (AMB),Notebook A. M. Bach (1725) No. 22 Musette,D maj.,Keyboard,432: 35,V/4: 99,,01437
II 127,II,1725 (AMB),Notebook A. M. Bach (1725) No. 23 March,E♭ maj.,Keyboard,432: 35,V/4: 100,"by Bach, C. P. E.",01438
II 128,II,1725 (AMB),Notebook A. M. Bach (1725) No. 24 (Polonaise),D min.,Keyboard,432: 36,V/4: 101,,01439
II 132,II,1725 (AMB),Notebook A. M. Bach (1725) No. 36 Minuet,D min.,Keyboard,432: 48,V/4: 125,,01443
II 151,II,,Concerto,C maj.,Keyboard,42: XXXIV,V/12,,01462
II 152,II,,Concerto,G maj.,Vl Hc,42: XXXIV,VI/5,,01463
990,II,,Sarabanda con Partitis,C maj.,Keyboard,42: 221,V/12: 97,,01168
II 153,II,,Sonata,A maj.,Vl Bc,,VI/5,,01464
II 154,II,,Sonata,E♭ maj.,Vl Hc,,VI/5,,01465
1020,II,,Sonata,G min.,Vl Hc,9: 274,VI/5,"by Bach, C. P. E.? (H 542.5)",01201
1022,II,,Sonata ,F maj.,Vl Hc,,VI/5: 27,"by Bach, C. P. E.?; after BWV 1021; ↔ BWV 1038",01203
1024,II,,Sonata ,C min.,Vl Bc,,VI/5,,01205
1031,II,,Sonata,E♭ maj.,Fl Hc,9: 22,VI/5: 13,"by Bach, C. P. E.? (H 545)",01213
1033,II,,Sonata,C maj.,Fl Bc,431: 3,VI/5: 3,"by Bach, C. P. E.? (H 564.5)",01215
1038,II,1732–1735,Sonata,G maj.,Fl Vl Bc,9: 219,VI/5: 45,"by Bach, C. P. E.? (H 590.5); after BWV 1021; ↔ BWV 1022",01220
525a,II,,Concerto (Trio sonata),C maj.,Vl Vc Bc,,VI/5,"after BWV 525/1, 1032/2, 525/3",01718
II 155,II,,Concerto,A maj.,Kb Str Bc,,VI/5,,01466
I 22,II,,Concerto ,B♭ maj.,Ob Vl Str Bc,,VI/5,by Förster (C.?)?,01330
1070,II,,Orchestral Suite (No. 5),G min.,Str Bc,451: 190,VI/5,"by Bach, W. F.?",01256
Anh. III,"Works of other composers, spuriously attributed to Bach","Works of other composers, spuriously attributed to Bach","Works of other composers, spuriously attributed to Bach","Works of other composers, spuriously attributed to Bach","Works of other composers, spuriously attributed to Bach","Works of other composers, spuriously attributed to Bach","Works of other composers, spuriously attributed to Bach","Works of other composers, spuriously attributed to Bach",Up ↑
III 156,III,,"Cantata Herr Christ, der einge Gottes Sohn (Annunciation)",,SATB Str Bc,,,by Telemann (TWV 1:732),01467
III 157,III,,Cantata Ich habe Lust zu scheiden (Purification),,s 2Fl Str Bc,,,by Telemann (TWV 1:836),01468
15,III,1726-04-21 (JSB),Cantata Denn du wirst meine Seele nicht in der Hölle lassen (Easter),,satbSATB 3Tr Tmp Str Bc,2: 135,I/41,"by Bach, J. L. (JLB 21); text in Meiningen 1704",00017
141,III,,Cantata Das ist je gewißlich wahr (3rd Sunday of Advent),,atbSATB 2Ob Str Bc,30: 3,I/41,by Telemann (TWV 1:183),00173
145/b,III,,Cantata movement So du mit deinem Munde bekennest Jesum (Easter),D maj.,SATB Tr Str Bc,30: 96,I/10: 142,by Telemann (TWV 1:1350/1),00178
160,III,1725–1732?,"Cantata Ich weiß, daß mein Erlöser lebt (Easter)",C maj.,t Vl Bas Bc,32: 171,I/41,by Telemann (TWV 1:877),00194
218,III,,Cantata Gott der Hoffnung erfülle euch (Pentecost),,satbSATB 2Hn Str Bc,41: 223,,by Telemann (TWV 1:634),00275
219,III,,"Cantata Siehe, es hat überwunden der Löwe (Michaelmas)",,sabSATB Str Bc,41: 239,,by Telemann (TWV 1:1328),00276
222,III,,Cantata Mein Odem ist schwach (Purification),,sabSATB Str Bc,,,"by Bach, J. Ernst; → BWV Anh. 165",00279
III 158,III,,"Aria ""Andrò dall'colle al Prato""",,s 2Fl (2Hn) Str Bc,,,"by Bach, J. C.",03022
III 160,III,1750–1755? (Harrer?),"Motet Jauchzet dem Herrn alle Welt, TWV 8:10",C maj.,2SATB,,III/3: 15,"after Telemann (/1; /3 after TWV 1:1066), BWV 28/2 (/2 = BWV 28/2a); text after Psalm 100",01471
III 161,III,,Motet Kündlich groß ist das gottselige Geheimnis/1 (Christmas),D maj.,SATB Str? Bc,,III/3,"by Graun (C. H.?), precedes laudes A and B of BWV 243a",01472
III 162,III,,Motet Lob und Ehre und Weisheit und Dank,,2SATB,,III/3,"by Wagner, G. G.",01473
III 163,III,,"Motet Merk auf, mein Herz, und sieh dorthin",,2SATB,,III/3,"by Bach, J. B. or J. Ernst",01474
III 164,III,,Motet Nun danket alle Gott ,,SSATB,,III/3: 52,by Altnickol,01475
III 165,III,,Motet Unser Wandel ist im Himmel,,SATB,,III/3,"by Bach, J. Ernst; after BWV 222/3 /4 /6",01476
III 166,III,1716 (JLB) 1729 (JSB),"Kyrie–Gloria Mass Missa sopra cantilena ""Allein Gott in der Höh' sei Ehr""",E min.,SSATB 2Vl 2Vla Vc Bc,111: XV 41: 276,II/9,"by Bach, J. L. (JLB 38), start of Gloria arr. by Bach",01477
II 24,III,"1715–1717, 1724 (JSB)",Kyrie–Gloria Mass,A min.,SATB Str Bc,111: XV,II/9,"after Missa Sancti Lamberti by Pez, J. C.",01332
II 26,III,1727–1732 (JSB),Kyrie–Gloria Mass ,C min.,satbSATB 3Tbn 2Vl Bc,41: 193 111: XVI,II/2: 295,by Durante (alternative Christe: BWV 242),01334
II 27,III,c. 1745? (JLK),Sanctus,F maj.,SATB 2Hn 2Ob Str Bc,111: XVII,II/9,"by Krebs, J. L. (Krebs‑WV 104)",01335
III 168,III,c. 1747? (WFB),Kyrie and German Gloria,G min.,sSATB Str Bc,111: XVII,II/9,"by Bach, W. F. (BR E1 F 100)",01479
I 21,III,c. 1707 (MH),Magnificat Meine Seel erhebt den Herren,A min.,s Fl 2Vl Bc,111: XVIII,II/9,"by Hoffmann, M.",01329
III 169,III,1724–1725,Passion Erbauliche Gedanken auf den Grünen Donnerstag und Charfreitag über den Leidenden Jesum,,,,,text by Picander partly used in BWV 244 but no other known setting,01480
8/6,III,1713 (Vet.) 1724-09-24 (JSB),"chorale setting ""Liebster Gott, wenn werd ich sterben"" (s. 5)",E maj.,SATB,1: 241,I/23: 161,"by Vetter, D. (Z 6634); text by Neumann",00009
8/6,III,1713 (Vet.) 1724-09-24 (JSB),"chorale setting ""Liebster Gott, wenn werd ich sterben"" (s. 5)",E maj.,SATB,1: 241,III/2.1: 63 III/2.2: 25,"by Vetter, D. (Z 6634); text by Neumann",11228
8/6,III,1713 (Vet.) 1724-09-24 (JSB),"chorale setting ""Liebster Gott, wenn werd ich sterben"" (s. 5)",D maj.,SATB,,I/23: 219,"by Vetter, D. (Z 6634); text by Neumann",00010
27/6,III,1652 (Ros.) 1726-10-06 (JSB),"chorale setting ""Welt, ade, ich bin dein müde"" (s. 1)",B♭ maj.,SSATB,51: 244,I/23: 251,by Rosenmüller (Z 6531); text by Albinus,01481
III 170,III,1652 (Ros.) 1726-10-06 (JSB),"chorale setting ""Welt, ade, ich bin dein müde"" (s. 1)",B♭ maj.,SSATB,51: 244,III/2.2: 86,by Rosenmüller (Z 6531); text by Albinus,11345
43/11,III,1652 (Pet.) 1726-05-30 (JSB),"chorale setting ""Du lebensfürst, Herr Jesu Christ""  (ss. 1, 13)",G maj.,SATB,10: 126,I/12: 164,by Peter  after Z 5741b; text by Rist,11241
43/11,III,1652 (Pet.) 1726-05-30 (JSB),"chorale setting ""Ermuntre dich, mein schwacher Geist""",G maj.,SATB,10: 126,III/2.1: 74 III/2.2: 57,by Peter  after Z 5741b; text by Rist,11241
567,III,,Prelude,C maj.,Organ,38: 84,IV/11,"by Krebs, J. L. (Krebs‑WV 401)",00647
III 178,III,last third of 17th century,Toccata quasi Fantasia con Fuge,A maj.,Organ,42: 250,V/12,by Reincken?,01489
II 43,III,c. 1788,Fugue ,B min.,Organ,,IV/11,by Pölitz ; after H 776/18,01351
II 44,III,,Fugue ,G maj.,Organ,,IV/11,"by Kellner, J. P. or J. C.",01352
II 45,III,c. 1799,Fugue  on B-A-C-H,B♭ maj.,Organ,,IV/11,by Knecht,01353
II 88,III,1765,Fugue ,C maj.,Keyboard,,V/12,"by Kellner, J. C.",01397
II 97,III,,Fugue ,F♯ maj.,Keyboard,42: XXXV,IV/11: 63,"by Krebs, J. L. (Krebs‑WV 409/2)",01407
II 103,III,c. 1711–1718 (GFH),Fugue ,A min.,Keyboard,,V/12,by Handel (HWV 609 ),01413
II 104,III,c. 1711–1718 (GFH),Fugue ,C min.,Keyboard,,V/12,by Handel (HWV 610 ),01414
II 105,III,c. 1711–1718 (GFH),Fugue ,B♭ maj.,Keyboard,,V/12,by Handel (HWV 607 ),01415
II 106,III,c. 1711–1718 (GFH),Fugue ,G min.,Keyboard,,V/12,by Handel (HWV 605 ),01416
N 208,III,1747 (JEE),Fugue,E♭ min.,Keyboard,,IV/11,After Toccata nona  by Eberlin,01519
II 46,III,,Trio ,C min.,Organ,,IV/11,"by Krebs, J. T.",01354
692,III,,"chorale setting ""Ach Gott und Herr"" (Kirnb. coll. No. 3)",C maj.,Organ,40: 4,IV/11,by Walther; after BWV 692a,00810
692a,III,,"chorale setting ""Ach Gott und Herr"" (early version)",C maj.,Organ,40: 152,IV/11,by Walther; → BWV 692,00811
693,III,,"chorale setting ""Ach Gott und Herr"" (Kirnb. coll. No. 4)",C maj.,Organ,40: 5,IV/11,by Walther,00812
723,III,,"chorale setting ""Gelobet seist du, Jesu Christ"" (also in Neumeister Collection)",,Organ,40: 63,,"after Z 1947; by Bach, J. Michael",00846
740,III,,"chorale setting ""Wir glauben all an einen Gott""",,Organ,40: 103,,"after Z 4000; by Krebs, J. L. (Krebs‑WV 554c)",00868
744,III,,"chorale setting ""Auf meinen lieben Gott""",,Organ,40: 170,IV/10: 20,"after Z 2164; by Krebs, J. L. (Krebs‑WV 517)",00872
746,III,1715 or earlier (JCFF),"chorale setting ""Christ ist erstanden""",D min.,Organ,40: 173,IV/10,by Fischer (Ariadne Musica  No. 24),00874
748,III,1700–1739,"chorale setting ""Gott der Vater wohn uns bei""",D maj.,Organ,40: 177,IV/10,by Walther; → BWV 748a,00876
748a,III,1700–1789,"chorale setting ""Gott der Vater wohn uns bei"" (variant)",D maj.,Organ,,IV/10,by Scholz (arr.)?; after BWV 748,00877
751,III,,"chorale setting ""In dulci jubilo""  (also in Neumeister Collection)",,Organ,,IV/10,"by Bach, J. Michael",00880
759,III,,"chorale setting ""Schmücke dich, o liebe Seele""",F maj.,Organ,40: 181,IV/10,by Homilius (HoWV VIII.17 ),00888
760,III,,"chorale setting ""Vater unser im Himmelreich""",,Organ,40: 183,IV/10,by Böhm,00889
761,III,,"chorale setting ""Vater unser im Himmelreich""",,Organ,40: 184,IV/10,by Böhm,00890
